epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4019,0.59249,2.1783,1.17763,0.49701,0.58682,0.55298,0.47774,0.53998,1.58153,1.24211,0.000331002,0.000331002,0.000331002
2,54.4674,0.56566,1.28729,1.13514,0.72,0.34655,0.38269,0.27529,0.90091,1.98139,1.62925,0.000657759,0.000657759,0.000657759
3,77.0104,0.58066,1.20316,1.13829,0.40206,0.66932,0.55142,0.44085,0.64151,1.82042,1.28778,0.000977915,0.000977915,0.000977915
4,100.563,0.56673,1.14333,1.13158,0.654,0.64834,0.64544,0.53136,0.62447,1.15473,1.28504,0.0009703,0.0009703,0.0009703
5,126.713,0.55217,1.05118,1.1175,0.574,0.61639,0.6003,0.51846,0.50135,1.53273,1.12319,0.0009604,0.0009604,0.0009604
6,150.031,0.52115,0.9728,1.09555,0.69162,0.54724,0.63623,0.54749,0.55498,1.45348,1.18371,0.0009505,0.0009505,0.0009505
7,176,0.49877,0.91832,1.08143,0.73761,0.73172,0.78211,0.6978,0.42092,0.85769,1.03007,0.0009406,0.0009406,0.0009406
8,200.576,0.47914,0.89282,1.06244,0.69242,0.76544,0.79334,0.73203,0.39815,0.88518,1.02359,0.0009307,0.0009307,0.0009307
9,225.352,0.4884,0.83757,1.07366,0.67512,0.83217,0.82811,0.73916,0.47492,0.80644,1.10076,0.0009208,0.0009208,0.0009208
10,251.917,0.47752,0.83588,1.06609,0.54856,0.61031,0.49608,0.45183,0.40322,2.01839,1.0148,0.0009109,0.0009109,0.0009109
11,275.93,0.45582,0.78379,1.04991,0.78978,0.88921,0.85123,0.78732,0.3827,0.54098,0.99508,0.000901,0.000901,0.000901
12,301.826,0.46889,0.78011,1.06113,0.75323,0.89971,0.8766,0.82174,0.35648,0.60264,0.97632,0.0008911,0.0008911,0.0008911
13,327.804,0.45196,0.73732,1.05182,0.73706,0.8722,0.86655,0.82083,0.32908,0.58525,0.94212,0.0008812,0.0008812,0.0008812
14,350.18,0.43772,0.71281,1.03639,0.74411,0.93597,0.91011,0.8548,0.34527,0.5365,0.96541,0.0008713,0.0008713,0.0008713
15,377.161,0.43067,0.68009,1.04059,0.76222,0.82577,0.88824,0.83706,0.3435,0.53843,0.95779,0.0008614,0.0008614,0.0008614
16,399.958,0.42022,0.64707,1.02458,0.86105,0.89351,0.91803,0.87179,0.32527,0.40499,0.93881,0.0008515,0.0008515,0.0008515
17,424.871,0.41919,0.64008,1.028,0.82381,0.97682,0.91729,0.87527,0.32591,0.36998,0.93344,0.0008416,0.0008416,0.0008416
18,450.78,0.41245,0.63315,1.02441,0.75995,0.93402,0.90128,0.85803,0.32864,0.49924,0.93143,0.0008317,0.0008317,0.0008317
19,472.729,0.42084,0.60593,1.03159,0.86061,0.9859,0.91126,0.86388,0.33816,0.35556,0.95321,0.0008218,0.0008218,0.0008218
20,495.021,0.40667,0.6007,1.01675,0.79624,0.90354,0.88722,0.8545,0.30874,0.49714,0.91896,0.0008119,0.0008119,0.0008119
21,517.799,0.40033,0.57453,1.01573,0.88939,0.97878,0.91646,0.8786,0.31075,0.32476,0.93173,0.000802,0.000802,0.000802
22,543.742,0.40185,0.57163,1.01228,0.80506,0.94188,0.90378,0.87165,0.30628,0.40953,0.92123,0.0007921,0.0007921,0.0007921
23,565.806,0.39956,0.55912,1.01506,0.82379,0.97637,0.91331,0.87567,0.30367,0.34633,0.91929,0.0007822,0.0007822,0.0007822
24,587.53,0.39128,0.54915,1.01393,0.82805,0.93983,0.92539,0.89185,0.29952,0.39307,0.91045,0.0007723,0.0007723,0.0007723
25,613.675,0.38944,0.54331,1.01244,0.864,0.9845,0.91152,0.88185,0.29679,0.33333,0.90853,0.0007624,0.0007624,0.0007624
26,637.141,0.382,0.53755,1.00688,0.87615,0.99176,0.92201,0.8968,0.28192,0.28836,0.89189,0.0007525,0.0007525,0.0007525
27,662.003,0.3834,0.50305,0.9994,0.87578,0.95832,0.92013,0.89349,0.28149,0.35487,0.89394,0.0007426,0.0007426,0.0007426
28,684.997,0.37394,0.50527,1.00034,0.90232,0.98771,0.91721,0.89508,0.27831,0.288,0.89286,0.0007327,0.0007327,0.0007327
29,708.339,0.38524,0.49147,1.00568,0.88584,0.9958,0.92106,0.8959,0.30048,0.26394,0.91238,0.0007228,0.0007228,0.0007228
30,730.936,0.38131,0.48045,1.00505,0.89896,0.98534,0.91769,0.89023,0.28491,0.27812,0.89268,0.0007129,0.0007129,0.0007129
31,754.139,0.3863,0.47128,1.00768,0.88393,0.9854,0.94178,0.91488,0.28558,0.2844,0.89672,0.000703,0.000703,0.000703
32,781.364,0.3731,0.48063,0.99643,0.86396,0.98124,0.91722,0.88579,0.30273,0.32519,0.92058,0.0006931,0.0006931,0.0006931
33,806.373,0.3633,0.45271,0.99549,0.89502,0.99712,0.92372,0.89985,0.29628,0.2612,0.90641,0.0006832,0.0006832,0.0006832
34,828.552,0.3659,0.45801,0.99466,0.87657,0.99769,0.92128,0.89277,0.28908,0.25702,0.89878,0.0006733,0.0006733,0.0006733
35,851.463,0.3624,0.44111,0.99241,0.88177,0.98466,0.91646,0.89305,0.29043,0.30498,0.89795,0.0006634,0.0006634,0.0006634
36,874.542,0.36152,0.42612,0.98484,0.88296,0.99776,0.92363,0.90073,0.27794,0.25557,0.88713,0.0006535,0.0006535,0.0006535
37,895.945,0.35888,0.4283,0.98694,0.90746,0.99892,0.91189,0.89461,0.26067,0.23277,0.87285,0.0006436,0.0006436,0.0006436
38,919.862,0.34802,0.42095,0.98695,0.90624,0.99003,0.9278,0.90643,0.26388,0.26872,0.87279,0.0006337,0.0006337,0.0006337
39,943.873,0.35394,0.42135,0.98465,0.87776,0.99572,0.91285,0.89125,0.2696,0.24933,0.87855,0.0006238,0.0006238,0.0006238
40,966.235,0.3536,0.40065,0.98262,0.90957,0.99543,0.91788,0.90249,0.25764,0.22789,0.87245,0.0006139,0.0006139,0.0006139
41,987.653,0.35644,0.39219,0.98368,0.9119,0.99757,0.92153,0.90413,0.25846,0.22536,0.86997,0.000604,0.000604,0.000604
42,1010.17,0.34736,0.41946,0.97978,0.9005,0.99418,0.92267,0.90616,0.25721,0.22785,0.86358,0.0005941,0.0005941,0.0005941
43,1031.71,0.35343,0.38816,0.98682,0.89643,0.99766,0.91176,0.89543,0.26151,0.2247,0.86821,0.0005842,0.0005842,0.0005842
44,1053.75,0.34522,0.37486,0.97827,0.90492,0.99835,0.91375,0.89686,0.27121,0.23463,0.88449,0.0005743,0.0005743,0.0005743
45,1076.83,0.3419,0.38083,0.97722,0.89749,0.99691,0.91747,0.90343,0.26156,0.24684,0.87723,0.0005644,0.0005644,0.0005644
46,1099.86,0.35436,0.37475,0.98632,0.91271,0.99895,0.91174,0.89637,0.26367,0.22629,0.87126,0.0005545,0.0005545,0.0005545
47,1123.24,0.3367,0.36319,0.97408,0.91014,0.99895,0.91369,0.90218,0.24452,0.22006,0.85874,0.0005446,0.0005446,0.0005446
48,1145.96,0.33501,0.36778,0.97707,0.9085,0.99789,0.91556,0.9058,0.23796,0.21133,0.85251,0.0005347,0.0005347,0.0005347
49,1169.78,0.33562,0.35921,0.97405,0.90763,0.99895,0.91732,0.90092,0.2605,0.24001,0.86851,0.0005248,0.0005248,0.0005248
50,1191.39,0.33738,0.34405,0.97474,0.91079,0.99895,0.92605,0.91411,0.24555,0.20749,0.85656,0.0005149,0.0005149,0.0005149
51,1214.22,0.33546,0.35452,0.97252,0.90671,0.99895,0.91389,0.90253,0.24366,0.21333,0.85433,0.000505,0.000505,0.000505
52,1240.44,0.33239,0.34592,0.97382,0.90856,0.99895,0.9179,0.90668,0.23944,0.20663,0.84957,0.0004951,0.0004951,0.0004951
53,1265.58,0.33435,0.35181,0.97755,0.91023,0.99895,0.92332,0.9116,0.24086,0.21921,0.84921,0.0004852,0.0004852,0.0004852
54,1295.44,0.33362,0.33793,0.96903,0.91131,0.99835,0.92552,0.91419,0.23916,0.21926,0.84809,0.0004753,0.0004753,0.0004753
55,1318.75,0.32825,0.33137,0.97233,0.89467,0.99895,0.93878,0.92476,0.24877,0.21655,0.85174,0.0004654,0.0004654,0.0004654
56,1344.65,0.32614,0.33021,0.97003,0.90674,0.99895,0.92433,0.91483,0.23482,0.21909,0.84651,0.0004555,0.0004555,0.0004555
57,1369.02,0.32378,0.32143,0.96655,0.91223,0.99895,0.92803,0.92034,0.23004,0.19284,0.84075,0.0004456,0.0004456,0.0004456
58,1392.89,0.3171,0.31277,0.96704,0.91081,0.99895,0.92119,0.91389,0.22679,0.19483,0.84041,0.0004357,0.0004357,0.0004357
59,1416.85,0.31725,0.32012,0.9668,0.89615,0.99895,0.91185,0.90449,0.22638,0.19948,0.83845,0.0004258,0.0004258,0.0004258
60,1440.93,0.31579,0.31069,0.96349,0.9117,0.99886,0.91562,0.9079,0.23425,0.20008,0.84533,0.0004159,0.0004159,0.0004159
61,1462.77,0.31625,0.31255,0.96296,0.90483,0.99895,0.91185,0.9056,0.22957,0.20277,0.83959,0.000406,0.000406,0.000406
62,1485.52,0.31491,0.31093,0.95918,0.91375,0.99895,0.91199,0.90394,0.23438,0.19857,0.84609,0.0003961,0.0003961,0.0003961
63,1510,0.31478,0.31519,0.96754,0.91109,0.99835,0.91194,0.90337,0.23759,0.19551,0.84421,0.0003862,0.0003862,0.0003862
64,1533.01,0.3141,0.30601,0.9645,0.91314,0.99895,0.91752,0.91031,0.22857,0.20135,0.83698,0.0003763,0.0003763,0.0003763
65,1557.41,0.30768,0.30397,0.96063,0.91361,0.99895,0.91908,0.91234,0.22211,0.18534,0.83291,0.0003664,0.0003664,0.0003664
66,1580.83,0.30804,0.28962,0.95768,0.91315,0.99895,0.9119,0.9062,0.21723,0.18617,0.82714,0.0003565,0.0003565,0.0003565
67,1603.44,0.30957,0.29741,0.95963,0.91318,0.99895,0.91198,0.90531,0.22414,0.18721,0.83485,0.0003466,0.0003466,0.0003466
68,1625.67,0.30089,0.29349,0.95909,0.91409,0.99895,0.91178,0.90583,0.21775,0.19144,0.83093,0.0003367,0.0003367,0.0003367
69,1647.5,0.30366,0.28332,0.9563,0.91132,0.99895,0.91176,0.90704,0.22082,0.18133,0.8307,0.0003268,0.0003268,0.0003268
70,1669.84,0.30167,0.28463,0.95735,0.91361,0.99895,0.91194,0.90462,0.22502,0.18971,0.83641,0.0003169,0.0003169,0.0003169
71,1693.5,0.29632,0.27606,0.95911,0.9096,0.99895,0.91685,0.91201,0.21439,0.17825,0.82867,0.000307,0.000307,0.000307
72,1716.18,0.29581,0.28011,0.95117,0.91278,0.99895,0.91375,0.90751,0.21542,0.17979,0.83057,0.0002971,0.0002971,0.0002971
73,1738.7,0.28836,0.27168,0.95065,0.91269,0.99895,0.91724,0.91167,0.22128,0.18816,0.83204,0.0002872,0.0002872,0.0002872
74,1760.66,0.29327,0.2659,0.95155,0.91126,0.99895,0.91369,0.90845,0.21939,0.18838,0.83272,0.0002773,0.0002773,0.0002773
75,1782.63,0.28902,0.25691,0.94712,0.91367,0.99895,0.91185,0.90699,0.21428,0.1812,0.82469,0.0002674,0.0002674,0.0002674
76,1805.93,0.29286,0.25338,0.94947,0.91384,0.99895,0.91709,0.91264,0.21142,0.1761,0.82429,0.0002575,0.0002575,0.0002575
77,1829.48,0.2892,0.26044,0.94727,0.91352,0.99895,0.91205,0.90688,0.21115,0.18009,0.82342,0.0002476,0.0002476,0.0002476
78,1851.99,0.28634,0.24843,0.94771,0.91363,0.99811,0.91453,0.91,0.20767,0.18913,0.82183,0.0002377,0.0002377,0.0002377
79,1873.52,0.28393,0.25407,0.94473,0.91301,0.99895,0.91826,0.91354,0.20602,0.18011,0.82155,0.0002278,0.0002278,0.0002278
80,1895.69,0.28509,0.24287,0.94302,0.91376,0.99895,0.914,0.90989,0.20622,0.17349,0.82072,0.0002179,0.0002179,0.0002179
81,1918.92,0.28427,0.24311,0.94567,0.91451,0.99895,0.91567,0.91152,0.20118,0.18226,0.81811,0.000208,0.000208,0.000208
82,1942.35,0.28273,0.24327,0.9506,0.91184,0.99895,0.91566,0.91099,0.20329,0.17663,0.81959,0.0001981,0.0001981,0.0001981
83,1966.23,0.28408,0.24306,0.94796,0.91357,0.99895,0.92659,0.92321,0.19986,0.16657,0.81579,0.0001882,0.0001882,0.0001882
84,1988.21,0.27575,0.23607,0.93736,0.91376,0.99895,0.91572,0.91272,0.19774,0.1721,0.81579,0.0001783,0.0001783,0.0001783
85,2010.73,0.27003,0.22852,0.93949,0.91317,0.99895,0.91195,0.90872,0.19649,0.1732,0.81329,0.0001684,0.0001684,0.0001684
86,2033.77,0.27192,0.23294,0.9371,0.91409,0.99895,0.91202,0.90731,0.19879,0.17015,0.81414,0.0001585,0.0001585,0.0001585
87,2057.56,0.27269,0.22883,0.93662,0.91351,0.99895,0.91909,0.91528,0.19993,0.16742,0.81649,0.0001486,0.0001486,0.0001486
88,2079.77,0.2668,0.22222,0.93836,0.91386,0.99895,0.91195,0.90863,0.19715,0.17079,0.81636,0.0001387,0.0001387,0.0001387
89,2102.46,0.26523,0.22301,0.93446,0.9137,0.99895,0.91201,0.90874,0.19547,0.16613,0.81215,0.0001288,0.0001288,0.0001288
90,2125.65,0.26596,0.22714,0.93445,0.91384,0.99895,0.91573,0.91252,0.19782,0.16572,0.81342,0.0001189,0.0001189,0.0001189
91,2148.7,0.18499,0.15796,0.87024,0.91392,0.99895,0.91198,0.90782,0.19973,0.16798,0.8155,0.000109,0.000109,0.000109
92,2173.59,0.18347,0.14625,0.86625,0.91401,0.99895,0.91747,0.91427,0.1943,0.16756,0.81163,9.91e-05,9.91e-05,9.91e-05
93,2195.02,0.17772,0.14158,0.86225,0.91412,0.99895,0.91203,0.90893,0.19412,0.16226,0.81123,8.92e-05,8.92e-05,8.92e-05
94,2217.88,0.17656,0.14045,0.87325,0.91389,0.99895,0.912,0.90937,0.19509,0.16159,0.81083,7.93e-05,7.93e-05,7.93e-05
95,2241.01,0.17365,0.13757,0.86457,0.91395,0.99895,0.9138,0.91175,0.1883,0.15798,0.80676,6.94e-05,6.94e-05,6.94e-05
96,2263.79,0.17239,0.13729,0.8604,0.91385,0.99895,0.91201,0.90944,0.19128,0.15829,0.80827,5.95e-05,5.95e-05,5.95e-05
97,2286.04,0.16988,0.13549,0.86247,0.91377,0.99895,0.91194,0.90944,0.18578,0.15751,0.8048,4.96e-05,4.96e-05,4.96e-05
98,2308.21,0.16858,0.1338,0.86116,0.91397,0.99895,0.91362,0.91104,0.1874,0.15833,0.80578,3.97e-05,3.97e-05,3.97e-05
99,2330.27,0.16493,0.13054,0.8527,0.91389,0.99895,0.91196,0.91008,0.18289,0.15595,0.80219,2.98e-05,2.98e-05,2.98e-05
100,2353.64,0.16394,0.1295,0.85844,0.91384,0.99895,0.91193,0.9102,0.18297,0.15398,0.80209,1.99e-05,1.99e-05,1.99e-05
